label,text,processed_text,encoded_label
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",xxxmobilemovieclub use credit click wap link next txt message click here>> httpwap xxxmobilemovieclubcomnqjkgighjjgcbl,1
ham,Oh k...i'm watching here:),oh kim watch here,0
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,eh u remember how <NUM> spell name yes v naughty make v wet,0
ham,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,fine thatåõ way u feel thatåõ way gota b,0
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",england v macedonia dont miss goalsteam new txt ur national team <NUM> eg england <NUM> trywal scotland <NUM>txtì¼<NUM><NUM> poboxox<NUM>w<NUM>wq <NUM>,1
ham,Is that seriously how you spell his name?,serious how spell name,0
ham,IÛ÷m going to try for 2 months ha ha only joking,iûm go try <NUM> month ha ha on jok,0
ham,So Ì_ pay first lar... Then when is da stock comin...,so ì_ pay first lar then when da stock comin,0
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,aft finish lunch then go str down lor ard <NUM> smth lor u finish ur lunch already,0
ham,Ffffffffff. Alright no way I can meet up with you sooner?,ffffffffff alright no way can meet up sooner,0
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,just forced myself eat slice im real not hungry tho suck mark gett worried know im sick when turn down pizza lol,0
ham,Lol your always so convincing.,lol alway so convinc,0
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,catch bus fry egg make tea eat mom left over dinner feel love,0
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",im back amp pack car now ill let know ther room,0
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ahhh work vague remember feel like lol,0
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",wait that still not all clear not sure be sarcastic that why x doesnt want live us,0
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,yeah got <NUM> v apologetic n fallen actin like spoilt child got caught up till <NUM> wont go there not do too bad cheer,0
ham,K tell me anything about you.,k tell anyth,0
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,fear faint all housework just quick cuppa,0
spam,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,thank subscription ringtone uk mobile will charged å<NUM>month please confirm reply yes no rep no will not charged,1
ham,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,yup ok go home look timing then msg ì_ again xuhui go learn <NUM>nd may too lesson <NUM>am,0
ham,"Oops, I'll let you know when my roommate's done",oop ill let know when roommat done,0
ham,I see the letter B on my car,see letter b car,0
ham,Anything lor... U decide...,anyth lor u decide,0
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,hello how how saturday go just text see youd decided anyth tomo not im try invite myself anyth,0
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,pls go ahead watt just wanted sure great weekend abiola,0
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",forget tell want need crave most all love sweet arabian steed mmmmmm yummy,0
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,<NUM> rodger burn msg tried call re rep sms free nokia mobile free camcorder please call now <NUM> delivery tomorrow,1
ham,WHO ARE YOU SEEING?,see,0
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,great hope like man well endowed ltgt inch,0
ham,No calls..messages..missed calls,no callsmessagesmissed call,0
ham,Didn't you get hep b immunisation in nigeria.,didnt get hep b immunisation nigeria,0
ham,"Fair enough, anything going on?",fair enough anyth go,0
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",yeah hopeful tyler cant could maybe ask around bit,0
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,u dont know how stubborn didnt even want go hospital kept tell mark im not weak sucker hospital weak sucker,0
ham,What you thinked about me. First time you saw me in class.,thinked first time saw class,0
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",gram usual run like ltgt half eighth smarter though get almost whole second gram ltgt,0
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,k fyi x ride ear tomorrow morn hes crash place tonight,0
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",wow never realized so embarassed accomodation thought liked since do best could alway seemed so happy cave im sorry didnt dont more give im sorry offered im sorry room so embarass,0
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,sms ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end rep end sptv,1
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,know mallika sherawat yesterday find now lturlgt,0
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",congrat <NUM> year special cinema pass <NUM> your call <NUM> now c suprman v matrix<NUM> starwars<NUM> etc all <NUM> free bx<NUM>ip<NUM><NUM>we <NUM>pm dont miss,1
ham,"Sorry, I'll call later in meeting.",sorry ill call later meet,0
ham,Tell where you reached,tell where reached,0
ham,Yes..gauti and sehwag out of odi series.,yesgauti sehwag odi seri,0
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,gonna pick up <NUM> burger yourself way home cant even move pain kill,0
ham,Ha ha ha good joke. Girls are situation seekers.,ha ha ha good joke girl situation seeker,0
ham,Its a part of checking IQ,part check iq,0
ham,"Sorry my roommates took forever, it ok if I come by now?",sorry roommat took forever ok come now,0
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ok lar double check wif da hair dresser already said wun cut v short said will cut look nice,0
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",valued customer pleased advise follow recent review mob no awarded å<NUM> bonu prize call <NUM>,1
ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",today song dedicated day song will u dedicate send all ur valuable frnd first rp,0
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",urgent ur awarded complimentary trip eurodisinc trav acoentry<NUM> å<NUM> claim txt dis <NUM> <NUM><NUM>å<NUM><NUM>morefrmmob shracomorsglsuplt<NUM> ls<NUM> <NUM>aj,1
spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",hear new divorce barbie com all ken stuff,1
ham,I plane to give on this month end.,plane give month end,0
ham,Wah lucky man... Then can save money... Hee...,wah lucky man then can save money hee,0
ham,Finished class where are you.,finished class where,0
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,hi babe im home now wanna someth xx,0
ham,K..k:)where are you?how did you performed?,kkwhere youhow performed,0
ham,U can call me now...,u can call now,0
ham,I am waiting machan. Call me once you free.,wait machan call once free,0
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,that cool gentleman will treat dignity respect,0
ham,I like you peoples very much:) but am very shy pa.,like peopl very much very shy pa,0
ham,Does not operate after  &lt;#&gt;  or what,not operate after ltgt,0
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,not same here still look job how much tas earn there,0
ham,"Sorry, I'll call later",sorry ill call later,0
ham,K. Did you call me just now ah? ,k call just now ah,0
ham,Ok i am on the way to home hi hi,ok way home hi hi,0
ham,You will be in the place of that man,will place man,0
ham,Yup next stop.,yup next stop,0
ham,"I call you later, don't have network. If urgnt, sms me.",call later dont network urgnt sms,0
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,real when u gett yo on need <NUM> more ticket one more jacket im done already used all multi,0
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,yes started send request make pain came back so im back bed double coin factory too gotta cash all nitro,0
ham,I'm really not up to it still tonight babe,im real not up still tonight babe,0
ham,"Ela kano.,il download, come wen ur free..",ela kanoil download come wen ur free,0
ham,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,yeah donût stand close tho youûll catch someth,0
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,sorry pain ok meet another night spent late afternoon casualty mean havent done any y stuff<NUM>moro includ all time sheet sorry,0
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,smile pleasure smile pain smile when trouble pour like rain smile when sum<NUM> hurt u smile becoz someone still lov see u smil,0
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,please call customer service representative <NUM> <NUM> <NUM> between <NUM>am<NUM>pm won guaranteed å<NUM> cash å<NUM> prize,1
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,havent plann buy later check already lido on got <NUM> show e afternoon u finish work already,0
spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",free ringtone wait collected simp text password mix <NUM> verify get usher britney fml,1
ham,Watching telugu movie..wat abt u?,watch telugu moviewat abt u,0
ham,i see. When we finish we have loads of loans to pay,see when finish load loan pay,0
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",hi wk ok hol now yes bit run forgot hairdresser appointment four so need get home n shower beforehand cause prob u ham,0
ham,Please don't text me anymore. I have nothing else to say.,please dont text anymore noth else say,0
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,okay name ur price long legal wen can pick up y u ave x ams xx,0
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,im still look car buy not gone <NUM>the driv test yet,0
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,per request melle melle oru minnaminunginte nurungu vettam set callertune all caller press <NUM> copy friend callertune,0
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",wow youre right didnt mean guess once gave up boston men changed search location nyc someth changed cuz signin page still say boston,0
ham,Umma my life and vava umma love you lot dear,umma life vava umma love lot dear,0
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,thank lot wish birthday thank mak birthday tru memorable,0
ham,"Aight, I'll hit you up when I get some cash",aight ill hit up when get some cash,0
ham,How would my ip address test that considering my computer isn't a minecraft server,how would ip address test consider computer isnt minecraft server,0
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,know grumpy old people mom like better not ly then again alway one play jok,0
ham,Dont worry. I guess he's busy.,dont worry guess hes busy,0
ham,What is the plural of the noun research?,plural noun research,0
ham,Going for dinner.msg you after.,go dinnermsg after,0
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,im ok wif cos like <NUM> try new thing scared u dun like mah cos u said not too loud,0
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,gent try contact last weekend draw show won å<NUM> prize guaranteed call <NUM> claim code k<NUM> valid <NUM>hr on <NUM>ppm,1
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",wa ur openin sentence very formal anyway im fine too juz tt im eatin too much n puttin weighthaha so anythin special happened,0
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",entered cabin pa said happy bday boss felt special askd <NUM> lunch after lunch invited apartment went there,0
spam,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,winner u special selected <NUM> receive å<NUM> <NUM> holiday flight inc speak live operator <NUM> claim <NUM>pmin <NUM>,1
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,goodo yes must speak friday eggpotato ratio tortilla needed,0
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,hmmmy uncle just informed hes pay school direct so pls buy food,0
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,private <NUM> account statement <NUM> show <NUM> unredeemed bonu point claim call <NUM> identifier code <NUM> expir,1
spam,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",urgent mobile no awarded å<NUM> bonu caller prize <NUM><NUM><NUM> final try contact u call landline <NUM> box<NUM>wr<NUM>c <NUM>ppm,1
ham,here is my new address -apples&pairs&all that malarky,here new address applespairsall malarky,0
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,today voda number end <NUM> selected receive <NUM> award match please call <NUM> quot claim code <NUM> standard rat app,1
ham,I am going to sao mu today. Will be done only at 12 ,go sao mu today will done on <NUM>,0
ham,ÌÏ predict wat time Ì_'ll finish buying?,ìï predict wat time ì_ll finish buy,0
ham,"Good stuff, will do.",good stuff will,0
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",just so knowyetunde hasnt sent money yet just sent text not bother send so over dont involve yourself anyth shouldnt imposed anyth first place so apologise,0
ham,Are you there in room.,there room,0
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,hey girl how r u hope u r well del r bak again long time no c give call sum time lucyxx,0
ham,K..k:)how much does it cost?,kkhow much cost,0
ham,I'm home.,im home,0
ham,"Dear, will call Tmorrow.pls accomodate.",dear will call tmorrowpl accomodate,0
ham,First answer my question.,first answer question,0
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,sunshine quiz wk q win top sony dvd player u know country algarve txt ansr <NUM> å<NUM><NUM> sptyrone,1
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,want <NUM> get laid tonight want real dogg location sent direct <NUM> ur mob join uks largest dogg network bt txt gravel <NUM> nt ec<NUM>a <NUM>pmsg<NUM>p,1
ham,I only haf msn. It's yijue@hotmail.com,on haf msn yijuehotmailcom,0
ham,He is there. You call and meet him,there call meet,0
ham,No no. I will check all rooms befor activities,no no will check all room befor activiti,0
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,youll not rcv any more msg chat svc free hardcore servic text go <NUM> u get noth u must age verify yr network try again,1
ham,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,got c lazy type forgot ì_ lect saw pouch like not v nice,0
ham,"K, text me when you're on the way",k text when youre way,0
ham,"Sir, Waiting for your mail.",sir wait mail,0
ham,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",swt thought nver get tired do little thing <NUM> lovable person cozsomtim those little thing occupy d biggest part heart gud ni<NUM>,0
ham,I know you are. Can you pls open the back?,know can pls open back,0
ham,Yes see ya not on the dot,yes see ya not dot,0
ham,Whats the staff name who is taking class for us?,what staff name tak class us,0
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",freemsg why havent replied text im randy sexy female live local luv hear u netcollex ltd <NUM>p per msg rep stop end,1
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,ummmawill call after check inour life will begin qatar so pls pray very hard,0
ham,K..i deleted my contact that why?,ki deleted contact why,0
ham,Sindu got job in birla soft ..,sindu got job birla soft,0
ham,The wine is flowing and i'm i have nevering..,wine flow im never,0
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,yup thk cine better cos no need <NUM> go down <NUM> plaza mah,0
ham,Ok... Ur typical reply...,ok ur typical rep,0
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,per request melle melle oru minnaminunginte nurungu vettam set callertune all caller press <NUM> copy friend callertune,0
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",everywhere dirt floor window even shirt sometim when open mouth all com flow dream world without then half chor too time joy lot tv show ill see guess like all thing just must exist like rain hail mist when time here done become one,0
ham,Aaooooright are you at work?,aaooooright work,0
ham,I'm leaving my house now...,im leav house now,0
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",hello love do get interview today happy be good boy think meare miss,0
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,customer service annoncement new year delivery wait please call <NUM> now arrange delivery,1
spam,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,winner u special selected <NUM> receive å<NUM> cash <NUM> holiday flight inc speak live operator <NUM> claim <NUM>,1
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,keep yourself safe need miss already envy everyone see real life,0
ham,New car and house for my parents.:)i have only new job in hand:),new car house parentsi on new job hand,0
ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,im so love im excited each day spend make so happy,0
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,pls stop bootydeliou <NUM>f invit friend rep yes<NUM> no<NUM> see wwwsmsacubootydeliou stop send stop frnd <NUM>,1
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",bangbab ur order way u should receive service msg <NUM> download ur content u not goto wap bangb tv ur mobile internetservice menu,1
ham,I place all ur points on e cultures module already.,place all ur point e cultur module already,0
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,urgent try contact last weekend draw show won å<NUM> prize guaranteed call <NUM> claim code s<NUM> valid <NUM>hr on,1
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",hi frnd best way avoid missunderstd wit beloved one,0
ham,Great escape. I fancy the bridge but needs her lager. See you tomo ,great escape fancy bridge need lager see tomo,0
ham,Yes :)it completely in out of form:)clark also utter waste.,yes complete formclark also utter waste,0
ham,"Sir, I need AXIS BANK account no and bank address.",sir need axi bank account no bank address,0
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",hmmm thk sure got time hop ard ya can go <NUM> free abt muz call u discuss liao,0
ham,What time you coming down later? ,time com down later,0
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",bloody hell cant believe forgot surname mr ill give u clue spanish begin m,0
ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",well im gonna finish bath now goodfine night,0
ham,Let me know when you've got the money so carlos can make the call,let know when youve got money so carlo can make call,0
ham,U still going to the mall?,u still go mall,0
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",turn friend stay whole show wont back til ltgt so feel free go ahead smoke ltgt worth,0
ham,Text her. If she doesnt reply let me know so i can have her log in,text doesnt rep let know so can log,0
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,hi just spoke maneesha v wed like know satisfied experience rep toll free yes no,0
ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,lifted hop offer money need especial when end month approach hurt study anyway gr<NUM> weekend,0
ham,Lol no. U can trust me.,lol no u can trust,0
ham,ok. I am a gentleman and will treat you with dignity and respect.,ok gentleman will treat dignity respect,0
ham,"He will, you guys close?",will guy close,0
ham,Going on nothing great.bye,go noth greatbye,0
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,hello handsome find job not be lazy work toward gett back net mummy wher boytoy now miss,0
ham,"Haha awesome, be there in a minute",haha awesome there minute,0
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,please call customer service representative freephone <NUM> <NUM> <NUM> between <NUM>am<NUM>pm won guaranteed å<NUM> cash å<NUM> prize,1
ham,Have you got Xmas radio times. If not i will get it now,got xma radio tim not will get now,0
ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,jus reached home go bathe first sis us net tell u when finish k,0
spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,unique enough find <NUM>th august wwwareyouuniquecouk,1
ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,im sorry ive joined league people dont keep touch mean great deal friend all tim even great personal cost great week,0
ham,Hi :)finally i completed the course:),hi final completed course,0
ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,will stop itself however suggest stay someone will able give ors every stool,0
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,how do hope youve settled new school year just wishin gr<NUM> day,0
ham,Gud mrng dear hav a nice day,gud mrng dear hav nice day,0
ham,Did u got that persons story,u got person story,0
ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,hamster dead hey so tmr meet <NUM>pm orchard mrt,0
ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,hi kate how even hope can see tomorrow bit bloody babyjontet txt back u can xxx,0
ham,"Found it, ENC  &lt;#&gt; , where you at?",found enc ltgt where,0
ham,I sent you  &lt;#&gt;  bucks,sent ltgt buck,0
ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,hello darlin ive finished college now so txt when u finish u can love kate xxx,0
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,account refilled successful inr ltdecimalgt keralacircle prepaid account balance rs ltdecimalgt transaction id kr ltgt,0
ham,Goodmorning sleeping ga.,goodmorn sleep ga,0
ham,U call me alter at 11 ok.,u call alter <NUM> ok,0
ham,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...,ìï say like dat dun buy ericsson oso cannot oredi lar,0
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",entered cabin pa said happy bday boss felt special askd <NUM> lunch after lunch invited apartment went there,0
ham,"Aight yo, dats straight dogg",aight yo dat straight dogg,0
ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,please give us connection today itself before ltdecimalgt refund bill,0
ham,Both :) i shoot big loads so get ready!,both shoot big load so get ready,0
ham,"What's up bruv, hope you had a great break. Do have a rewarding semester.",what up bruv hope great break reward semester,0
ham,Home so we can always chat,home so can alway chat,0
ham,K:)k:)good:)study well.,kkgoodstudy well,0
ham,Yup... How Ì_ noe leh...,yup how ì_ noe leh,0
ham,Sounds great! Are you home now?,sound great home now,0
ham,Finally the match heading towards draw as your prediction.,final match head toward draw prediction,0
